paper_key,depth_max,depth_mean,domain_binary,domain_continuous,domain_integer,domain_non_negative,motif_big_m,motif_capacity,motif_flow_balance,motif_headway,motif_modulo,n_formulas,n_objectives,share_bigop,share_equality,share_inequality,sym_index,sym_parameter,sym_var_param_ratio,sym_variable
10.1016_j.aej.2025.03.003,9,6,0,0,0,0,0,0.032258,0,0.064516,0,62,5,0.322581,0.435484,0.516129,16,6,0.833333,5
10.1016_j.apm.2013.07.023,8,6.66667,0,0,0,0,0,0,0,0,0,9,2,0.444444,0.777778,0.222222,1,1,4,4
10.1016_j.apm.2015.05.008,6,3.76923,0,0,0,0,0,0,0,0,0,13,1,0.307692,0.538462,0.461538,4,1,3,3
10.1016_j.apm.2015.06.031,9,5.16216,0,0,0,0,0.378378,0,0.027027,0,0,37,3,0.081081,0.486486,0.513514,11,8,1,8
10.1016_j.apm.2016.06.040,9,5.31579,0,0,0,7,0,0,0,0.035088,0,57,1,0.298246,0.701754,0.22807,3,8,1.75,14
10.1016_j.apm.2017.07.030,9,5.61538,4,0,0,4,0.102564,0.051282,0,0.076923,0,39,3,0.358974,0.384615,0.435897,12,14,0.571429,8
10.1016_j.apm.2025.116670,12,5.35,1,0,0,2,0,0.033333,0.016667,0.016667,0,60,2,0.183333,0.75,0.2,9,19,0.736842,14
10.1016_j.asoc.2011.08.026,7,4.27778,0,0,0,0,0,0.026316,0.026316,0.236842,0.105263,38,1,0.052632,0.157895,0.815789,6,17,0.470588,8
10.1016_j.cie.2008.07.021,7,4.63636,0,0,0,0,0,0,0,0,0,12,5,0.166667,0.75,0.166667,1,5,0.8,4
10.1016_j.cie.2008.09.031,6,5,0,0,0,0,0,0,0,0,0,4,0,0,0.5,0.5,0,0,0,0
10.1016_j.cie.2012.08.004,8,3.975,8,0,0,0,0,0,0,0,0,40,0,0.025,0.175,0.675,2,13,0.846154,11
10.1016_j.cie.2013.06.003,8,5.58333,0,0,0,0,0.076923,0.076923,0,0,0,13,2,0.307692,0.076923,0.846154,2,8,0.5,4
10.1016_j.cie.2017.12.010,10,6.33333,0,0,0,0,0,0,0,0,0,33,2,0.181818,0.272727,0.727273,11,12,0.666667,8
10.1016_j.cie.2018.02.019,9,4.5,0,0,0,0,0,0,0,0,0,37,2,0.162162,0.756757,0.243243,4,20,0.55,11
10.1016_j.cie.2019.04.031,11,7.02564,0,0,0,0,0,0,0.025,0.15,0,40,1,0.65,0.65,0.325,6,17,0.764706,13
10.1016_j.cie.2020.106374,11,6.58824,0,0,0,0,0,0,0,0,0,34,1,0.235294,0.647059,0.352941,7,7,1.28571,9
10.1016_j.cie.2021.107858,9,5.3,0,0,0,15,0,0,0,0,0,30,0,0.366667,0.733333,0.2,5,8,1.875,15
10.1016_j.cie.2023.109657,10,5.41861,0,0,0,0,0,0.127907,0,0.034884,0,86,5,0.418605,0.348837,0.511628,10,9,1.11111,10
10.1016_j.cie.2023.109742,11,5.7,0,0,0,0,0.114754,0.032787,0,0.032787,0,61,2,0.459016,0.803279,0.131148,8,15,1.06667,16
10.1016_j.cie.2023.109809,12,6.49425,0,0,0,0,0,0.011111,0.066667,0.022222,0,90,1,0.588889,0.444444,0.466667,13,23,0.608696,14
10.1016_j.cie.2024.109999,12,5.58571,1,0,0,11,0.042857,0.042857,0.057143,0.028571,0,70,0,0.457143,0.628571,0.342857,6,10,2.2,22
10.1016_j.cie.2024.110544,12,7.12121,1,0,0,0,0,0.121212,0.060606,0,0,33,3,0.878788,0.818182,0.030303,14,7,0.857143,6
10.1016_j.cie.2025.111244,14,6.30645,1,0,0,0,0.063492,0.111111,0,0.047619,0,63,4,0.31746,0.365079,0.571429,8,9,2.33333,21
10.1016_j.cie.2025.111329,10,4.84615,0,0,0,0,0,0,0,0,0,26,1,0.038462,0.730769,0.230769,4,3,1,3
10.1016_j.cie.2025.111667,13,7,1,0,0,2,0,0.090909,0.060606,0.060606,0,33,12,0.757576,0.575758,0.242424,8,9,0.444444,4
10.1016_j.cie.2025.111770,10,5.58,0,0,0,5,0.14,0.02,0,0.08,0,50,1,0.26,0.38,0.54,5,9,1.77778,16
10.1016_j.cie.2025.111794,10,6.46342,0,0,0,0,0.02439,0.121951,0,0.073171,0,41,6,0.536585,0.341463,0.536585,7,14,0.714286,10
10.1016_j.conengprac.2017.02.006,11,4.6875,0,0,0,0,0.125,0,0,0,0,32,0,0.21875,0.5625,0.4375,1,6,2,12
10.1016_j.cor.2005.02.004,8,5.11111,0,0,0,0,0,0,0,0,0,56,2,0.035714,0.625,0.25,3,28,0.214286,6
10.1016_j.cor.2009.03.022,8,4.31034,0,0,2,0,0,0,0,0,0.032258,31,1,0.096774,0.419355,0.451613,4,26,0.153846,4
10.1016_j.cor.2012.08.018,7,5,0,0,0,0,0,0,0.083333,0,0.166667,12,0,0.5,0.5,0,1,8,0.25,2
10.1016_j.cor.2013.04.002,8,4.63333,0,0,3,0,0,0,0.064516,0,0,31,7,0.387097,0.354839,0.129032,4,3,1,3
10.1016_j.cor.2013.11.003,11,5.95833,1,0,0,4,0,0.125,0,0,0,24,3,0.833333,0.208333,0.625,8,4,1.75,7
10.1016_j.cor.2015.12.011,11,6.26923,0,0,0,7,0.132075,0,0.113208,0,0,53,0,0.433962,0.433962,0.377358,5,15,0.666667,10
10.1016_j.cor.2016.02.008,6,6,0,0,0,0,0.666667,0,0,0,0,3,3,0.333333,0,1,8,1,1,1
10.1016_j.cor.2020.105135,8,5.65217,0,0,0,0,0.217391,0,0,0.108696,0,46,14,0.282609,0.5,0.5,4,19,0.473684,9
10.1016_j.cor.2022.105740,10,5.61765,2,0,1,1,0.027778,0.055556,0,0,0,36,4,0.416667,0.305556,0.138889,0,0,0,0
10.1016_j.dam.2005.05.026,7,4.96154,0,0,0,1,0,0.307692,0,0,0,26,2,0.769231,0.384615,0.384615,17,9,0.333333,3
